level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.5555555555555556,0.0,0.5,0.05555555555555558,-0.5423728813559322,-0.07638888888888895
baseline_b,0.42592592592592593,0.5866666666666667,0.25902777777777775,-0.07407407407407407,0.04429378531073447,-0.3173611111111112
baseline,0.5,0.5423728813559322,0.576388888888889,0.0,0.0,0.0
level0,0.5555555555555556,0.07692307692307693,0.2763888888888889,0.05555555555555558,-0.4654498044328553,-0.30000000000000004
level2,0.5555555555555556,0.07692307692307693,0.2763888888888889,0.05555555555555558,-0.4654498044328553,-0.30000000000000004
level5,0.5925925925925926,0.35294117647058826,0.6194444444444445,0.09259259259259256,-0.18943170488534394,0.043055555555555514
ensemble,0.5740740740740741,0.08,0.5277777777777778,0.07407407407407407,-0.4623728813559322,-0.04861111111111116
source_ensemble,0.5555555555555556,0.0,0.28194444444444444,0.05555555555555558,-0.5423728813559322,-0.2944444444444445
oracle,0.8148148148148148,0.8,0.8847222222222222,0.31481481481481477,0.25762711864406784,0.30833333333333324
