,similarity
openml_45568,0.8090859404441627
openml_46280,0.8090859404441627
openml_46911,0.5441463204379274
openml_44232,0.3731420763648921
openml_43892,0.3347991660763687
openml_44226,0.33367724445070734
openml_46915,0.3291002162595639
openml_46504,0.3288901367231281
openml_46369,0.3283320370844873
openml_43896,0.3268275680186338
openml_43893,0.3268275680186338
openml_43894,0.3268275680186338
openml_43904,0.32382272677309043
openml_43890,0.3174851623171446
openml_1069,0.31453561513336664
openml_6332,0.31387642338367033
openml_45707,0.31387642338367033
openml_45706,0.31387642338367033
openml_43595,0.3135243551947518
openml_45686,0.3132512616266601
openml_45705,0.3127958966517715
openml_46860,0.2957392821657725
openml_46719,0.287125183620441
openml_46865,0.286397434284063
openml_44758,0.27847677732919546
openml_1056,0.2784349785492147
openml_46937,0.277516344669911
openml_46938,0.27392765391823776
openml_44762,0.26920540819821803
openml_44761,0.26920540819821803
openml_44760,0.26920540819821803
openml_44759,0.26920540819821803
openml_44225,0.2671100539456744
openml_44224,0.2671100539456744
openml_46948,0.26532344650416473
openml_46371,0.26293527793735
openml_993,0.262246579267119
openml_4534,0.26066606023465216
openml_44675,0.2606637116140019
openml_44676,0.2606637116140019
openml_44677,0.2606637116140019
openml_44673,0.2606637116140019
openml_43895,0.25964275733341347
openml_43897,0.25964275733341347
openml_43905,0.25964275733341347
openml_1018,0.25806043191633954
openml_44674,0.2516044491660319
openml_44186,0.2505052319023567
openml_44467,0.2505052319023567
openml_44466,0.2505052319023567
openml_44465,0.2505052319023567
openml_44464,0.2505052319023567
openml_44463,0.2505052319023567
openml_1023,0.24136077524779584
openml_46630,0.2383890030734872
openml_45039,0.23707397556603613
openml_42192,0.23594449756396688
openml_42193,0.23594449756396688
openml_46864,0.2353718297764009
openml_1002,0.23410473939824444
openml_44035,0.23215124494778666
openml_43947,0.23215124494778666
openml_44158,0.23215124494778666
openml_44185,0.23215124494778666
openml_42638,0.23164551480224072
openml_46868,0.2297998877607178
openml_44608,0.22780679016640717
openml_44611,0.22780679016640717
openml_1049,0.22780679016640717
openml_44612,0.22780679016640717
openml_44609,0.22780679016640717
openml_44610,0.22780679016640717
openml_1050,0.22711821327575651
openml_1067,0.2261169937264834
openml_44632,0.22611438525065453
openml_44631,0.22611438525065453
openml_44630,0.22611438525065453
openml_44629,0.22611438525065453
openml_44628,0.22611438525065453
openml_989,0.22284300113112107
openml_40650,0.2222775123495265
openml_1494,0.22137963799164195
openml_44602,0.22137963799164195
openml_44601,0.22137963799164195
openml_44600,0.22137963799164195
openml_44599,0.22137963799164195
openml_44598,0.22137963799164195
openml_40646,0.21973637489452758
openml_40647,0.21973637489452758
openml_959,0.21797257124659994
openml_46940,0.21783127670293537
openml_46925,0.21697229453133904
openml_40945,0.21481376581628275
openml_1014,0.21455753239705724
openml_46876,0.214454060414656
openml_46526,0.21379720090608778
openml_46924,0.21218241617248862
openml_826,0.2094243056885045
openml_45545,0.2091088557440524
openml_44785,0.20874547349003403
openml_44783,0.20874547349003403
openml_46809,0.20834499735875675
openml_44460,0.20637596726877733
openml_44234,0.20486616627723178
openml_1063,0.2026992622394199
openml_46483,0.2024780250824071
openml_40648,0.20136252169141805
openml_46952,0.20039400760168127
openml_47048,0.20020331170846023
openml_47047,0.20020331170846023
openml_47046,0.20020331170846023
openml_47045,0.20020331170846023
openml_47044,0.20020331170846023
openml_47052,0.20020331170846023
openml_47051,0.20020331170846023
openml_47050,0.20020331170846023
openml_47049,0.20020331170846023
openml_44645,0.1996907914075325
openml_44644,0.1996907914075325
openml_44643,0.1996907914075325
openml_44646,0.1996907914075325
openml_44647,0.1996907914075325
openml_3,0.19968408516584896
openml_44786,0.19959702541168822
openml_44787,0.19959702541168822
openml_44784,0.19959702541168822
openml_1053,0.19934417738931348
openml_46979,0.19934417738931348
openml_46947,0.19918523798442853
openml_45560,0.19918523798442853
openml_46927,0.19779955494142906
openml_44162,0.19723570482080735
openml_44462,0.19723570482080735
openml_44461,0.19723570482080735
openml_44458,0.19723570482080735
openml_41005,0.19580769657996985
openml_1068,0.19559458470125643
openml_991,0.19482173522486965
openml_41007,0.19473075088609665
openml_46431,0.1926350941570182
openml_46932,0.1924883554830832
openml_45553,0.19243971729479842
openml_46565,0.1921322354791912
openml_46553,0.1921322354791912
openml_46563,0.1921322354791912
openml_46554,0.1921322354791912
openml_451,0.1901040195690707
openml_45717,0.190084822624366
openml_45023,0.18934542744064442
openml_45026,0.18934542744064442
openml_44459,0.18809544237283735
openml_40999,0.18680502877771296
openml_46935,0.18620443799748287
openml_40649,0.18571646255764657
openml_45712,0.18363217069100018
openml_45554,0.18327059039007312
openml_44453,0.1827752363172251
openml_44454,0.1827752363172251
openml_44455,0.1827752363172251
openml_46517,0.18012357195963252
openml_44261,0.18001582323322426
openml_43941,0.18001582323322426
openml_43942,0.18001582323322426
openml_44263,0.18001582323322426
openml_44268,0.18001582323322426
openml_44266,0.18001582323322426
openml_44259,0.18001582323322426
openml_44260,0.18001582323322426
openml_44258,0.18001582323322426
openml_44257,0.18001582323322426
openml_44264,0.18001582323322426
openml_44265,0.18001582323322426
openml_44262,0.18001582323322426
openml_45711,0.1790474593835678
openml_46913,0.17805911705831676
openml_41946,0.1772014813726624
openml_1037,0.1766663480808726
openml_334,0.17488162964631482
openml_44456,0.1736349738692551
openml_44457,0.1736349738692551
openml_44115,0.1718808580006045
openml_44124,0.1718808580006045
openml_44084,0.1718808580006045
openml_43970,0.1718808580006045
openml_43958,0.1718808580006045
openml_44392,0.1718808580006045
openml_44393,0.1718808580006045
openml_44394,0.1718808580006045
openml_44395,0.1718808580006045
openml_44396,0.1718808580006045
openml_46733,0.1713723303398049
openml_46869,0.1713723303398049
openml_46758,0.17118949162121738
openml_44727,0.17115292115036498
openml_44723,0.17115292115036498
openml_44724,0.17115292115036498
openml_44725,0.17115292115036498
openml_43922,0.17094904520866838
openml_45028,0.17071931289565334
openml_45025,0.17071931289565334
openml_333,0.1707084802757048
openml_40690,0.17049175591235058
openml_40981,0.17033822626043282
openml_44487,0.17033822626043282
openml_44485,0.17033822626043282
openml_44484,0.17033822626043282
openml_44486,0.17033822626043282
openml_44483,0.17033822626043282
openml_24,0.1702933640999579
openml_44774,0.17028771812020302
openml_44773,0.17028771812020302
openml_44775,0.17028771812020302
openml_44776,0.17028771812020302
openml_44777,0.17028771812020302
openml_335,0.17018150588094036
openml_45060,0.168678296379323
openml_43551,0.16728429820215623
openml_42717,0.16701436294338265
openml_1220,0.16701436294338265
openml_40706,0.16686005179004554
openml_46874,0.16622941947085865
openml_802,0.1662142594527718
openml_44528,0.1661677108858411
openml_44529,0.1661677108858411
openml_44530,0.1661677108858411
openml_44531,0.1661677108858411
openml_44532,0.1661677108858411
openml_42493,0.16607676938412627
openml_44414,0.16554199279398227
openml_44415,0.16554199279398227
openml_44412,0.16554199279398227
openml_44416,0.16554199279398227
openml_137,0.16503672934857136
openml_50,0.16492391824750238
openml_1547,0.16409200456867898
openml_43901,0.1639622975232948
openml_44658,0.16377697172544603
openml_44660,0.16377697172544603
openml_44661,0.16377697172544603
openml_44662,0.16377697172544603
openml_44659,0.16377697172544603
openml_40701,0.16377446856086925
openml_45578,0.16350847104983116
openml_40713,0.16307687040611407
openml_45557,0.16214667593476004
openml_44726,0.16171599938780867
openml_44362,0.1616482166937542
openml_44363,0.1616482166937542
openml_44364,0.1616482166937542
openml_44365,0.1616482166937542
openml_44366,0.1616482166937542
openml_44090,0.16162685472178942
openml_43979,0.16162685472178942
openml_46846,0.1611077966692092
openml_46877,0.16073461813040096
openml_825,0.16040402280765206
openml_45037,0.16009249304534762
openml_953,0.15975157190573225
openml_983,0.15949696845547845
openml_43900,0.15947139131145502
openml_46956,0.1593775987063909
openml_38,0.15883426948231003
openml_728,0.15863241867017847
openml_44763,0.15803618067853542
openml_44766,0.15803618067853542
openml_44767,0.15803618067853542
openml_44764,0.15803618067853542
openml_44765,0.15803618067853542
openml_41434,0.15803016693923766
openml_42733,0.15803016693923766
openml_41156,0.15770151769112528
openml_44569,0.15769840657335815
openml_44571,0.15769840657335815
openml_44034,0.1564163937364498
openml_43946,0.1564163937364498
openml_44157,0.1564163937364498
openml_44442,0.1564163937364498
openml_44441,0.1564163937364498
openml_44413,0.15640173034601226
openml_43949,0.155815141941893
openml_44160,0.155815141941893
openml_44037,0.155815141941893
openml_44448,0.155815141941893
openml_44449,0.155815141941893
openml_44450,0.155815141941893
openml_44451,0.155815141941893
openml_44452,0.155815141941893
openml_40680,0.15460781713429989
openml_761,0.15452176815677182
openml_45562,0.15427197891667863
openml_1504,0.15376722796751255
openml_46905,0.15370460606845
openml_46667,0.1536947934506719
openml_41945,0.15342600082675795
openml_1480,0.15342600082675795
openml_43097,0.1533005155818977
openml_43098,0.1533005155818977
openml_987,0.15313127839161508
openml_853,0.1522338445603133
openml_44377,0.15196945916429355
openml_44380,0.15196945916429355
openml_46682,0.15068972701623604
openml_46800,0.15001455648105283
openml_44568,0.14824940586343344
openml_44570,0.14824940586343344
openml_44572,0.14824940586343344
openml_44438,0.14727613128847986
openml_44439,0.14727613128847986
openml_44440,0.14727613128847986
openml_43607,0.14676266943503768
openml_1000,0.14635996116633304
openml_934,0.14634265020278112
openml_962,0.14587565341257216
openml_44444,0.14574509471313343
openml_757,0.14421145855997014
openml_44378,0.1428291967163236
openml_44379,0.1428291967163236
openml_44381,0.1428291967163236
openml_1016,0.14178149667169354
openml_40693,0.14140575735094707
openml_45748,0.14130490606926593
openml_43255,0.14130490606926593
openml_46683,0.1408623571191144
openml_44095,0.13887398366365836
openml_44,0.13887398366365836
openml_43976,0.13793478282027488
openml_44093,0.13793478282027488
openml_44078,0.13793478282027488
openml_949,0.1371390429202123
openml_46822,0.13700399499691568
openml_995,0.1359883531974284
openml_43952,0.13539656088892257
openml_44080,0.13539656088892257
openml_43951,0.13539656088892257
openml_44120,0.13539656088892257
openml_44111,0.13539656088892257
openml_43964,0.13539656088892257
openml_43953,0.13539656088892257
openml_43966,0.13539656088892257
openml_43950,0.13539656088892257
openml_44373,0.13535552516523927
openml_44374,0.13535552516523927
openml_44372,0.13535552516523927
openml_44375,0.13535552516523927
openml_44376,0.13535552516523927
openml_44227,0.13533399857208964
openml_45059,0.13526852351545246
