level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline,0.7310149041873669,0.0,0.504316825544447,0.0,0.0,0.0
level0,0.7338537970191625,0.010554089709762533,0.4387984706399029,0.002838892831795614,0.010554089709762533,-0.06551835490454411
level2,0.7317246273953159,0.0,0.3153349350280297,0.0007097232079489313,0.0,-0.18898189051641734
level5,0.7643718949609652,0.5585106382978723,0.8050879640393708,0.03335699077359833,0.5585106382978723,0.30077113849492376
ensemble,0.7558552164655784,0.22171945701357465,0.7945232374899894,0.024840312278211485,0.22171945701357465,0.2902064119455424
source_ensemble,0.7054648687012065,0.19729206963249515,0.5570487483530961,-0.025550035486160416,0.19729206963249515,0.052731922808649134
oracle,0.7984386089425124,0.5735735735735735,0.8425275775659408,0.06742370475514547,0.5735735735735735,0.33821075202149375
