level,auc_seed0,auc_seed1,auc_seed2
baseline_a,0.5,0.5,0.5
baseline_b,0.25902777777777775,0.25902777777777775,0.25902777777777775
baseline,0.5541666666666667,0.5694444444444444,0.5583333333333333
level0,0.2590277777777778,0.2791666666666667,0.2777777777777778
level2,0.2590277777777778,0.2791666666666667,0.2777777777777778
level5,0.8027777777777778,0.7833333333333333,0.7097222222222224
ensemble,0.7194444444444444,0.6333333333333333,0.5736111111111112
source_ensemble,0.2729166666666667,0.29444444444444445,0.2916666666666667
oracle,0.8805555555555555,0.8861111111111111,0.8805555555555555
