fraction,seed,method,metric,value
0.005,4,target_only_cal,auc,
0.005,4,target_only_cal,accuracy,
0.005,4,vla,auc,0.6316666666666666
0.005,4,vla,accuracy,0.495
0.005,4,vla_st,auc,0.6316666666666666
0.005,4,vla_st,accuracy,0.495
0.005,4,routed,auc,0.5
0.005,4,routed,accuracy,0.7
0.005,4,oracle,auc,0.7636904761904761
0.005,4,oracle,accuracy,0.755
0.01,0,uda,auc,0.5
0.01,0,uda,accuracy,0.7
0.01,0,uda_cal,auc,
0.01,0,uda_cal,accuracy,
0.01,0,target_only,auc,0.5
0.01,0,target_only,accuracy,0.7
0.01,0,target_only_cal,auc,
0.01,0,target_only_cal,accuracy,
0.01,0,vla,auc,0.6930357142857142
0.01,0,vla,accuracy,0.68
0.01,0,vla_st,auc,0.6930357142857142
0.01,0,vla_st,accuracy,0.68
0.01,0,routed,auc,0.5
0.01,0,routed,accuracy,0.7
0.01,0,oracle,auc,0.7636904761904761
0.01,0,oracle,accuracy,0.755
0.01,1,uda,auc,0.5
0.01,1,uda,accuracy,0.7
0.01,1,uda_cal,auc,
0.01,1,uda_cal,accuracy,
0.01,1,target_only,auc,0.5
0.01,1,target_only,accuracy,0.7
0.01,1,target_only_cal,auc,
0.01,1,target_only_cal,accuracy,
0.01,1,vla,auc,0.43380952380952387
0.01,1,vla,accuracy,0.665
0.01,1,vla_st,auc,0.43380952380952387
0.01,1,vla_st,accuracy,0.665
0.01,1,routed,auc,0.5
0.01,1,routed,accuracy,0.7
0.01,1,oracle,auc,0.7636904761904761
0.01,1,oracle,accuracy,0.755
0.01,2,uda,auc,0.5
0.01,2,uda,accuracy,0.7
0.01,2,uda_cal,auc,
0.01,2,uda_cal,accuracy,
0.01,2,target_only,auc,0.5
0.01,2,target_only,accuracy,0.7
0.01,2,target_only_cal,auc,
0.01,2,target_only_cal,accuracy,
0.01,2,vla,auc,0.41464285714285715
0.01,2,vla,accuracy,0.635
0.01,2,vla_st,auc,0.41464285714285715
0.01,2,vla_st,accuracy,0.635
0.01,2,routed,auc,0.5
0.01,2,routed,accuracy,0.7
0.01,2,oracle,auc,0.7636904761904761
0.01,2,oracle,accuracy,0.755
0.01,3,uda,auc,0.5
0.01,3,uda,accuracy,0.7
0.01,3,uda_cal,auc,
0.01,3,uda_cal,accuracy,
0.01,3,target_only,auc,0.5
0.01,3,target_only,accuracy,0.7
0.01,3,target_only_cal,auc,
0.01,3,target_only_cal,accuracy,
0.01,3,vla,auc,0.46130952380952384
0.01,3,vla,accuracy,0.665
0.01,3,vla_st,auc,0.46130952380952384
0.01,3,vla_st,accuracy,0.665
0.01,3,routed,auc,0.5
0.01,3,routed,accuracy,0.7
0.01,3,oracle,auc,0.7636904761904761
0.01,3,oracle,accuracy,0.755
0.01,4,uda,auc,0.5
0.01,4,uda,accuracy,0.7
0.01,4,uda_cal,auc,
0.01,4,uda_cal,accuracy,
0.01,4,target_only,auc,0.5
0.01,4,target_only,accuracy,0.7
0.01,4,target_only_cal,auc,
0.01,4,target_only_cal,accuracy,
0.01,4,vla,auc,0.6316666666666666
0.01,4,vla,accuracy,0.495
0.01,4,vla_st,auc,0.6316666666666666
0.01,4,vla_st,accuracy,0.495
0.01,4,routed,auc,0.5
0.01,4,routed,accuracy,0.7
0.01,4,oracle,auc,0.7636904761904761
0.01,4,oracle,accuracy,0.755
0.05,0,uda,auc,0.5
0.05,0,uda,accuracy,0.7
0.05,0,uda_cal,auc,
0.05,0,uda_cal,accuracy,
0.05,0,target_only,auc,0.6399404761904761
0.05,0,target_only,accuracy,0.66
0.05,0,target_only_cal,auc,0.6399404761904761
0.05,0,target_only_cal,accuracy,0.66
0.05,0,vla,auc,0.6294047619047619
0.05,0,vla,accuracy,0.66
0.05,0,vla_st,auc,0.6292857142857142
0.05,0,vla_st,accuracy,0.65
0.05,0,routed,auc,0.6399404761904761
0.05,0,routed,accuracy,0.66
0.05,0,oracle,auc,0.7636904761904761
0.05,0,oracle,accuracy,0.755
0.05,1,uda,auc,0.5
0.05,1,uda,accuracy,0.7
0.05,1,uda_cal,auc,
0.05,1,uda_cal,accuracy,
0.05,1,target_only,auc,0.7060714285714286
0.05,1,target_only,accuracy,0.7
0.05,1,target_only_cal,auc,0.7060714285714286
0.05,1,target_only_cal,accuracy,0.7
0.05,1,vla,auc,0.7216666666666667
0.05,1,vla,accuracy,0.71
0.05,1,vla_st,auc,0.7444047619047619
0.05,1,vla_st,accuracy,0.715
0.05,1,routed,auc,0.7060714285714286
0.05,1,routed,accuracy,0.7
0.05,1,oracle,auc,0.7636904761904761
0.05,1,oracle,accuracy,0.755
0.05,2,uda,auc,0.5
0.05,2,uda,accuracy,0.7
0.05,2,uda_cal,auc,
0.05,2,uda_cal,accuracy,
0.05,2,target_only,auc,0.433452380952381
0.05,2,target_only,accuracy,0.56
0.05,2,target_only_cal,auc,0.433452380952381
0.05,2,target_only_cal,accuracy,0.56
0.05,2,vla,auc,0.4902380952380952
0.05,2,vla,accuracy,0.54
0.05,2,vla_st,auc,0.40797619047619044
0.05,2,vla_st,accuracy,0.625
0.05,2,routed,auc,0.4902380952380952
0.05,2,routed,accuracy,0.54
0.05,2,oracle,auc,0.7636904761904761
0.05,2,oracle,accuracy,0.755
0.05,3,uda,auc,0.5
0.05,3,uda,accuracy,0.7
0.05,3,uda_cal,auc,
0.05,3,uda_cal,accuracy,
0.05,3,target_only,auc,0.5239285714285714
0.05,3,target_only,accuracy,0.6
0.05,3,target_only_cal,auc,0.5239285714285714
0.05,3,target_only_cal,accuracy,0.6
0.05,3,vla,auc,0.49642857142857144
0.05,3,vla,accuracy,0.585
0.05,3,vla_st,auc,0.5260119047619047
0.05,3,vla_st,accuracy,0.64
0.05,3,routed,auc,0.49642857142857144
0.05,3,routed,accuracy,0.585
0.05,3,oracle,auc,0.7636904761904761
0.05,3,oracle,accuracy,0.755
0.05,4,uda,auc,0.5
0.05,4,uda,accuracy,0.7
0.05,4,uda_cal,auc,
0.05,4,uda_cal,accuracy,
0.05,4,target_only,auc,0.6352380952380953
0.05,4,target_only,accuracy,0.65
0.05,4,target_only_cal,auc,0.6352380952380953
0.05,4,target_only_cal,accuracy,0.65
0.05,4,vla,auc,0.6271428571428571
0.05,4,vla,accuracy,0.64
0.05,4,vla_st,auc,0.6948809523809524
0.05,4,vla_st,accuracy,0.665
0.05,4,routed,auc,0.6352380952380953
0.05,4,routed,accuracy,0.65
0.05,4,oracle,auc,0.7636904761904761
0.05,4,oracle,accuracy,0.755
0.1,0,uda,auc,0.5
0.1,0,uda,accuracy,0.7
0.1,0,uda_cal,auc,
0.1,0,uda_cal,accuracy,
0.1,0,target_only,auc,0.7175
0.1,0,target_only,accuracy,0.715
0.1,0,target_only_cal,auc,0.7175
0.1,0,target_only_cal,accuracy,0.715
0.1,0,vla,auc,0.7019047619047618
0.1,0,vla,accuracy,0.7
0.1,0,vla_st,auc,0.6908333333333333
0.1,0,vla_st,accuracy,0.71
0.1,0,routed,auc,0.7175
0.1,0,routed,accuracy,0.715
0.1,0,oracle,auc,0.7636904761904761
0.1,0,oracle,accuracy,0.755
0.1,1,uda,auc,0.5
0.1,1,uda,accuracy,0.7
0.1,1,uda_cal,auc,
0.1,1,uda_cal,accuracy,
0.1,1,target_only,auc,0.7303571428571429
0.1,1,target_only,accuracy,0.71
0.1,1,target_only_cal,auc,0.7303571428571429
0.1,1,target_only_cal,accuracy,0.71
0.1,1,vla,auc,0.729047619047619
0.1,1,vla,accuracy,0.695
0.1,1,vla_st,auc,0.743452380952381
0.1,1,vla_st,accuracy,0.73
0.1,1,routed,auc,0.7303571428571429
0.1,1,routed,accuracy,0.71
0.1,1,oracle,auc,0.7636904761904761
0.1,1,oracle,accuracy,0.755
0.1,2,uda,auc,0.5
0.1,2,uda,accuracy,0.7
0.1,2,uda_cal,auc,
0.1,2,uda_cal,accuracy,
0.1,2,target_only,auc,0.6344047619047618
0.1,2,target_only,accuracy,0.67
0.1,2,target_only_cal,auc,0.6344047619047618
0.1,2,target_only_cal,accuracy,0.67
0.1,2,vla,auc,0.6332142857142857
0.1,2,vla,accuracy,0.63
0.1,2,vla_st,auc,0.5966666666666667
0.1,2,vla_st,accuracy,0.675
0.1,2,routed,auc,0.6344047619047618
0.1,2,routed,accuracy,0.67
0.1,2,oracle,auc,0.7636904761904761
0.1,2,oracle,accuracy,0.755
0.1,3,uda,auc,0.5
0.1,3,uda,accuracy,0.7
0.1,3,uda_cal,auc,
0.1,3,uda_cal,accuracy,
0.1,3,target_only,auc,0.6589285714285714
0.1,3,target_only,accuracy,0.695
0.1,3,target_only_cal,auc,0.6589285714285714
0.1,3,target_only_cal,accuracy,0.695
0.1,3,vla,auc,0.6351190476190476
0.1,3,vla,accuracy,0.71
0.1,3,vla_st,auc,0.6639285714285715
0.1,3,vla_st,accuracy,0.7
0.1,3,routed,auc,0.6351190476190476
0.1,3,routed,accuracy,0.71
0.1,3,oracle,auc,0.7636904761904761
0.1,3,oracle,accuracy,0.755
0.1,4,uda,auc,0.5
0.1,4,uda,accuracy,0.7
0.1,4,uda_cal,auc,
0.1,4,uda_cal,accuracy,
0.1,4,target_only,auc,0.724047619047619
0.1,4,target_only,accuracy,0.71
0.1,4,target_only_cal,auc,0.724047619047619
0.1,4,target_only_cal,accuracy,0.71
0.1,4,vla,auc,0.7288095238095239
0.1,4,vla,accuracy,0.725
0.1,4,vla_st,auc,0.7288095238095239
0.1,4,vla_st,accuracy,0.725
0.1,4,routed,auc,0.7288095238095239
0.1,4,routed,accuracy,0.725
0.1,4,oracle,auc,0.7636904761904761
0.1,4,oracle,accuracy,0.755
0.25,0,uda,auc,0.5
0.25,0,uda,accuracy,0.7
0.25,0,uda_cal,auc,
0.25,0,uda_cal,accuracy,
0.25,0,target_only,auc,0.7474999999999999
0.25,0,target_only,accuracy,0.74
0.25,0,target_only_cal,auc,0.7474999999999999
0.25,0,target_only_cal,accuracy,0.74
0.25,0,vla,auc,0.7459523809523809
0.25,0,vla,accuracy,0.71
0.25,0,vla_st,auc,0.7517857142857143
0.25,0,vla_st,accuracy,0.745
0.25,0,routed,auc,0.7459523809523809
0.25,0,routed,accuracy,0.71
0.25,0,oracle,auc,0.7636904761904761
0.25,0,oracle,accuracy,0.755
0.25,1,uda,auc,0.5
0.25,1,uda,accuracy,0.7
0.25,1,uda_cal,auc,
0.25,1,uda_cal,accuracy,
0.25,1,target_only,auc,0.6789285714285713
0.25,1,target_only,accuracy,0.65
0.25,1,target_only_cal,auc,0.6789285714285713
0.25,1,target_only_cal,accuracy,0.65
0.25,1,vla,auc,0.6997619047619048
0.25,1,vla,accuracy,0.69
0.25,1,vla_st,auc,0.675
0.25,1,vla_st,accuracy,0.685
0.25,1,routed,auc,0.6789285714285713
0.25,1,routed,accuracy,0.65
0.25,1,oracle,auc,0.7636904761904761
0.25,1,oracle,accuracy,0.755
0.25,2,uda,auc,0.5
0.25,2,uda,accuracy,0.7
0.25,2,uda_cal,auc,
0.25,2,uda_cal,accuracy,
0.25,2,target_only,auc,0.6902380952380953
0.25,2,target_only,accuracy,0.715
0.25,2,target_only_cal,auc,0.6902380952380953
0.25,2,target_only_cal,accuracy,0.715
0.25,2,vla,auc,0.7041666666666667
0.25,2,vla,accuracy,0.7
0.25,2,vla_st,auc,0.6972619047619047
