table_id,proxy_col,direction,thresh_method,binarize_thresh,n_rows,positive_rate,kept,reason,proxy_quality
z_id_tables_licensed_draftkings_cin_bal_w5,Salary,POSITIVE,otsu,5132.558139534884,80.0,0.4375,False,concept_cap,
z_id_tables_licensed_draftkings_nyg_dal_w5,Salary,POSITIVE,otsu,5208.888888888889,78.0,0.4230769230769231,False,concept_cap,
z_id_tables_licensed_draftkings_sea_min_w5,Salary,POSITIVE,otsu,5864.130434782609,84.0,0.30952380952380953,False,duplicate,
z_id_tables_licensed_employee_257,SALARY,POSITIVE,otsu,6819.827586206897,107.0,0.4485981308411215,False,duplicate,
z_id_tables_licensed_employees_101,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_102,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_104,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_105,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_106,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_109,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_110,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_111,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_112,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_117,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_118,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_119,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_120,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_121,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_122,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_123,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_124,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_125,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_126,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_127,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_128,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_132,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
z_id_tables_licensed_employees_133,Salary,POSITIVE,otsu,59459.075,100.0,0.47,False,duplicate,
