level,accuracy,f1,auc
baseline_a,0.23932848807452145,0.3862228462872718,0.5
baseline_b,0.5852185484696489,0.5136821891502641,0.6397028884730107
oracle,0.8667212611321528,0.7215568862275449,0.9268465203510737
