table_id,proxy_col,n_rows,n_aligned_cols,self_auc,discovery_score
z_show_time_tables_licensed_test_data_predictions,subscriptions_pred,227,7,0.9907,0.1246
z_id_tables_licensed_youtube_channel_measures,subscriber_count,32,3,0.9776,0.174
