fraction,seed,method,metric,value
0.1,2,target_only,auc,0.7805555555555556
0.1,2,target_only,accuracy,0.6666666666666666
0.1,2,target_only_cal,auc,0.7805555555555556
0.1,2,target_only_cal,accuracy,0.6666666666666666
0.1,2,vla,auc,0.8291666666666666
0.1,2,vla,accuracy,0.7592592592592593
0.1,2,vla_st,auc,0.7736111111111111
0.1,2,vla_st,accuracy,0.6666666666666666
0.1,2,routed,auc,0.7805555555555556
0.1,2,routed,accuracy,0.6666666666666666
0.1,2,oracle,auc,0.8847222222222222
0.1,2,oracle,accuracy,0.8148148148148148
0.1,3,uda,auc,0.6583333333333333
0.1,3,uda,accuracy,0.6296296296296297
0.1,3,uda_cal,auc,0.6583333333333333
0.1,3,uda_cal,accuracy,0.6296296296296297
0.1,3,target_only,auc,0.9006944444444444
0.1,3,target_only,accuracy,0.8148148148148148
0.1,3,target_only_cal,auc,0.9006944444444444
0.1,3,target_only_cal,accuracy,0.8148148148148148
0.1,3,vla,auc,0.9027777777777778
0.1,3,vla,accuracy,0.8333333333333334
0.1,3,vla_st,auc,0.8930555555555556
0.1,3,vla_st,accuracy,0.8148148148148148
0.1,3,routed,auc,0.9006944444444444
0.1,3,routed,accuracy,0.8148148148148148
0.1,3,oracle,auc,0.8847222222222222
0.1,3,oracle,accuracy,0.8148148148148148
0.1,4,uda,auc,0.6583333333333333
0.1,4,uda,accuracy,0.6296296296296297
0.1,4,uda_cal,auc,0.6583333333333333
0.1,4,uda_cal,accuracy,0.6296296296296297
0.1,4,target_only,auc,0.7840277777777779
0.1,4,target_only,accuracy,0.7777777777777778
0.1,4,target_only_cal,auc,0.7840277777777779
0.1,4,target_only_cal,accuracy,0.7777777777777778
0.1,4,vla,auc,0.8680555555555556
0.1,4,vla,accuracy,0.7592592592592593
0.1,4,vla_st,auc,0.8784722222222222
0.1,4,vla_st,accuracy,0.7407407407407407
0.1,4,routed,auc,0.7840277777777779
0.1,4,routed,accuracy,0.7777777777777778
0.1,4,oracle,auc,0.8847222222222222
0.1,4,oracle,accuracy,0.8148148148148148
0.25,0,uda,auc,0.6583333333333333
0.25,0,uda,accuracy,0.6296296296296297
0.25,0,uda_cal,auc,0.6583333333333333
0.25,0,uda_cal,accuracy,0.6296296296296297
0.25,0,target_only,auc,0.8500000000000001
0.25,0,target_only,accuracy,0.7592592592592593
0.25,0,target_only_cal,auc,0.8500000000000001
0.25,0,target_only_cal,accuracy,0.7592592592592593
0.25,0,vla,auc,0.8625
0.25,0,vla,accuracy,0.7407407407407407
0.25,0,vla_st,auc,0.8527777777777777
0.25,0,vla_st,accuracy,0.7407407407407407
0.25,0,routed,auc,0.8500000000000001
0.25,0,routed,accuracy,0.7592592592592593
0.25,0,oracle,auc,0.8847222222222222
0.25,0,oracle,accuracy,0.8148148148148148
0.25,1,uda,auc,0.6583333333333333
0.25,1,uda,accuracy,0.6296296296296297
0.25,1,uda_cal,auc,0.6583333333333333
0.25,1,uda_cal,accuracy,0.6296296296296297
0.25,1,target_only,auc,0.8666666666666667
0.25,1,target_only,accuracy,0.7777777777777778
0.25,1,target_only_cal,auc,0.8666666666666667
0.25,1,target_only_cal,accuracy,0.7777777777777778
0.25,1,vla,auc,0.875
0.25,1,vla,accuracy,0.7777777777777778
0.25,1,vla_st,auc,0.8472222222222222
0.25,1,vla_st,accuracy,0.7592592592592593
0.25,1,routed,auc,0.8666666666666667
0.25,1,routed,accuracy,0.7777777777777778
0.25,1,oracle,auc,0.8847222222222222
0.25,1,oracle,accuracy,0.8148148148148148
0.25,2,uda,auc,0.6583333333333333
0.25,2,uda,accuracy,0.6296296296296297
0.25,2,uda_cal,auc,0.6583333333333333
0.25,2,uda_cal,accuracy,0.6296296296296297
0.25,2,target_only,auc,0.8833333333333333
0.25,2,target_only,accuracy,0.8148148148148148
0.25,2,target_only_cal,auc,0.8833333333333333
0.25,2,target_only_cal,accuracy,0.8148148148148148
0.25,2,vla,auc,0.8819444444444444
0.25,2,vla,accuracy,0.7962962962962963
0.25,2,vla_st,auc,0.8722222222222222
0.25,2,vla_st,accuracy,0.7777777777777778
0.25,2,routed,auc,0.8833333333333333
0.25,2,routed,accuracy,0.8148148148148148
0.25,2,oracle,auc,0.8847222222222222
0.25,2,oracle,accuracy,0.8148148148148148
0.25,3,uda,auc,0.6583333333333333
0.25,3,uda,accuracy,0.6296296296296297
0.25,3,uda_cal,auc,0.6583333333333333
0.25,3,uda_cal,accuracy,0.6296296296296297
0.25,3,target_only,auc,0.9083333333333333
0.25,3,target_only,accuracy,0.7592592592592593
0.25,3,target_only_cal,auc,0.9083333333333333
0.25,3,target_only_cal,accuracy,0.7592592592592593
0.25,3,vla,auc,0.9083333333333334
0.25,3,vla,accuracy,0.7962962962962963
0.25,3,vla_st,auc,0.9083333333333333
0.25,3,vla_st,accuracy,0.7777777777777778
0.25,3,routed,auc,0.9083333333333333
0.25,3,routed,accuracy,0.7592592592592593
0.25,3,oracle,auc,0.8847222222222222
0.25,3,oracle,accuracy,0.8148148148148148
0.25,4,uda,auc,0.6583333333333333
0.25,4,uda,accuracy,0.6296296296296297
0.25,4,uda_cal,auc,0.6583333333333333
0.25,4,uda_cal,accuracy,0.6296296296296297
0.25,4,target_only,auc,0.9138888888888889
0.25,4,target_only,accuracy,0.8148148148148148
0.25,4,target_only_cal,auc,0.9138888888888889
0.25,4,target_only_cal,accuracy,0.8148148148148148
0.25,4,vla,auc,0.8972222222222221
0.25,4,vla,accuracy,0.8148148148148148
0.25,4,vla_st,auc,0.9055555555555554
0.25,4,vla_st,accuracy,0.8148148148148148
0.25,4,routed,auc,0.9138888888888889
0.25,4,routed,accuracy,0.8148148148148148
0.25,4,oracle,auc,0.8847222222222222
0.25,4,oracle,accuracy,0.8148148148148148
