level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.7606715119254785,0.0,0.5,0.5104923738356024,-0.38769539413190673,0.0060238827955715335
baseline_b,0.323881666496059,0.30859415890296243,0.4312453586396617,0.07370252840618285,-0.0791012352289443,-0.06273075856476679
baseline,0.25017913808987613,0.38769539413190673,0.49397611720442847,0.0,0.0,0.0
level0,0.7830893643156925,0.33175654367707347,0.7200473325222213,0.5329102262258164,-0.05593885045483327,0.22607121531779284
level2,0.7822704473334016,0.3309216734822271,0.7667515191659475,0.5320913092435254,-0.056773720649679615,0.27277540196151906
level5,0.7552461869178012,0.0058212058212058215,0.34749360498105236,0.5050670488279251,-0.3818741883107009,-0.1464825122233761
ensemble,0.7541201760671512,0.024370430544272948,0.41450857440779093,0.5039410379772751,-0.3633249635876338,-0.07946754279663754
source_ensemble,0.2825263588903675,0.3895131086142322,0.5533151356897485,0.03234722080049135,0.0018177144823254832,0.05933901848532008
oracle,0.8730678677449074,0.7026378896882494,0.9264249630964727,0.6228887296550313,0.3149424955563426,0.43244884589204424
