level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline,0.8606817483877572,0.7088770053475936,0.9193082489499345,0.0,0.0,0.0
level0,0.8699969290613164,0.7284003421727973,0.9288201669214775,0.009315180673559187,0.019523336825203685,0.009511917971543049
level1,0.8629337700890573,0.7137053666880478,0.9209749656923536,0.002252021701300011,0.004828361340454279,0.0016667167424191387
level2,0.8628314054662709,0.7134302822925578,0.9213701036706218,0.002149657078513667,0.004553276944964213,0.0020618547206873172
oracle,0.86764254273723,0.723540731237973,0.9264786074658456,0.006960794349472721,0.014663725890379453,0.0071703585159111904
