level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline,0.8453270549698024,0.6769296557622407,0.9010189437147391,0.0,0.0,0.0
level0,0.5967857508445081,0.15815345159222055,0.45054633797172944,-0.2485413041252943,-0.5187762041700201,-0.4504726057430097
level1,0.8464530658204524,0.679213002566296,0.903416881560715,0.0011260108506500055,0.0022833468040552862,0.0023979378459758616
level2,0.8445081379875116,0.6752191575796451,0.9020488062458623,-0.0008189169822908626,-0.00171049818259561,0.001029862531123138
level3,0.8409253761899887,0.6676646706586826,0.8954033509772656,-0.004401678779813678,-0.00926498510355811,-0.005615592737473474
level5,0.7905619817790971,0.5624465355004277,0.8059797125283432,-0.05476507319070534,-0.11448312026181306,-0.0950392311863959
oracle,0.8681543658511618,0.7245508982035929,0.9264249630964727,0.022827310881359364,0.04762124244135213,0.02540601938173359
