level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline,0.6216666666666667,0.509719222462203,0.5947274819541795,0.0,0.0,0.0
level0,0.7216666666666667,0.6469344608879493,0.7362985435482559,0.09999999999999998,0.13721523842574623,0.1415710615940764
level1,0.6083333333333333,0.5052631578947369,0.5999407190431356,-0.01333333333333342,-0.004456064567466167,0.0052132370889561575
level2,0.6083333333333333,0.5052631578947369,0.5540619079169137,-0.01333333333333342,-0.004456064567466167,-0.040665574037265784
level3,0.59,0.47435897435897434,0.5971742743894642,-0.03166666666666673,-0.035360248103228686,0.0024467924352847836
level5,0.635,0.5389473684210526,0.6538863897897269,0.013333333333333308,0.029228145958849594,0.05915890783554745
oracle,0.8516666666666667,0.8118393234672304,0.9377840545849752,0.22999999999999998,0.3021201010050274,0.3430565726307957
