fraction,seed,method,metric,value
0.005,3,vla_st,accuracy,0.9854883180960673
0.005,3,routed,auc,0.5
0.005,3,routed,accuracy,0.9856334349151067
0.005,3,oracle,auc,0.7326050552640658
0.005,3,oracle,accuracy,0.985778551734146
0.005,4,uda,auc,0.4916047994669902
0.005,4,uda,accuracy,0.9856334349151067
0.005,4,uda_cal,auc,
0.005,4,uda_cal,accuracy,
0.005,4,target_only,auc,0.5
0.005,4,target_only,accuracy,0.9856334349151067
0.005,4,target_only_cal,auc,
0.005,4,target_only_cal,accuracy,
0.005,4,vla,auc,0.531557477008007
0.005,4,vla,accuracy,0.9850529676389493
0.005,4,vla_st,auc,0.531557477008007
0.005,4,vla_st,accuracy,0.9850529676389493
0.005,4,routed,auc,0.5
0.005,4,routed,accuracy,0.9856334349151067
0.005,4,oracle,auc,0.7326050552640658
0.005,4,oracle,accuracy,0.985778551734146
0.01,0,uda,auc,0.4916047994669902
0.01,0,uda,accuracy,0.9856334349151067
0.01,0,uda_cal,auc,0.4916047994669902
0.01,0,uda_cal,accuracy,0.9856334349151067
0.01,0,target_only,auc,0.5724381625441696
0.01,0,target_only,accuracy,0.9856334349151067
0.01,0,target_only_cal,auc,0.5724381625441696
0.01,0,target_only_cal,accuracy,0.9856334349151067
0.01,0,vla,auc,0.5930357758979667
0.01,0,vla,accuracy,0.9856334349151067
0.01,0,vla_st,auc,0.5930357758979667
0.01,0,vla_st,accuracy,0.9856334349151067
0.01,0,routed,auc,0.5930357758979667
0.01,0,routed,accuracy,0.9856334349151067
0.01,0,oracle,auc,0.7326050552640658
0.01,0,oracle,accuracy,0.985778551734146
0.01,1,uda,auc,0.4916047994669902
0.01,1,uda,accuracy,0.9856334349151067
0.01,1,uda_cal,auc,0.4916047994669902
0.01,1,uda_cal,accuracy,0.9856334349151067
0.01,1,target_only,auc,0.5521454236118547
0.01,1,target_only,accuracy,0.9856334349151067
0.01,1,target_only_cal,auc,0.5521454236118547
0.01,1,target_only_cal,accuracy,0.9856334349151067
0.01,1,vla,auc,0.523545972088375
0.01,1,vla,accuracy,0.9841822667247134
0.01,1,vla_st,auc,0.523545972088375
0.01,1,vla_st,accuracy,0.9841822667247134
0.01,1,routed,auc,0.523545972088375
0.01,1,routed,accuracy,0.9841822667247134
0.01,1,oracle,auc,0.7326050552640658
0.01,1,oracle,accuracy,0.985778551734146
0.01,2,uda,auc,0.4916047994669902
0.01,2,uda,accuracy,0.9856334349151067
0.01,2,uda_cal,auc,0.4916047994669902
0.01,2,uda_cal,accuracy,0.9856334349151067
0.01,2,target_only,auc,0.5419774898573485
0.01,2,target_only,accuracy,0.9856334349151067
0.01,2,target_only_cal,auc,0.5419774898573485
0.01,2,target_only_cal,accuracy,0.9856334349151067
0.01,2,vla,auc,0.5152838752662074
0.01,2,vla,accuracy,0.9851980844579887
0.01,2,vla_st,auc,0.5152838752662074
0.01,2,vla_st,accuracy,0.9851980844579887
0.01,2,routed,auc,0.5419774898573485
0.01,2,routed,accuracy,0.9856334349151067
0.01,2,oracle,auc,0.7326050552640658
0.01,2,oracle,accuracy,0.985778551734146
0.01,3,uda,auc,0.4916047994669902
0.01,3,uda,accuracy,0.9856334349151067
0.01,3,uda_cal,auc,0.4916047994669902
0.01,3,uda_cal,accuracy,0.9856334349151067
0.01,3,target_only,auc,0.49677353630533844
0.01,3,target_only,accuracy,0.9856334349151067
0.01,3,target_only_cal,auc,0.49677353630533844
0.01,3,target_only_cal,accuracy,0.9856334349151067
0.01,3,vla,auc,0.5619809698873303
0.01,3,vla,accuracy,0.9856334349151067
0.01,3,vla_st,auc,0.5619809698873303
0.01,3,vla_st,accuracy,0.9856334349151067
0.01,3,routed,auc,0.5619809698873303
0.01,3,routed,accuracy,0.9856334349151067
0.01,3,oracle,auc,0.7326050552640658
0.01,3,oracle,accuracy,0.985778551734146
0.01,4,uda,auc,0.4916047994669902
0.01,4,uda,accuracy,0.9856334349151067
0.01,4,uda_cal,auc,0.4916047994669902
0.01,4,uda_cal,accuracy,0.9856334349151067
0.01,4,target_only,auc,0.4884787212525728
0.01,4,target_only,accuracy,0.9856334349151067
0.01,4,target_only_cal,auc,0.4884787212525728
0.01,4,target_only_cal,accuracy,0.9856334349151067
0.01,4,vla,auc,0.5558797634769366
0.01,4,vla,accuracy,0.9849078508199101
0.01,4,vla_st,auc,0.5558797634769366
0.01,4,vla_st,accuracy,0.9849078508199101
0.01,4,routed,auc,0.5558797634769366
0.01,4,routed,accuracy,0.9849078508199101
0.01,4,oracle,auc,0.7326050552640658
0.01,4,oracle,accuracy,0.985778551734146
0.05,0,uda,auc,0.4916047994669902
0.05,0,uda,accuracy,0.9856334349151067
0.05,0,uda_cal,auc,0.4916047994669902
0.05,0,uda_cal,accuracy,0.9856334349151067
0.05,0,target_only,auc,0.554639445098809
0.05,0,target_only,accuracy,0.9849078508199101
0.05,0,target_only_cal,auc,0.554639445098809
0.05,0,target_only_cal,accuracy,0.9849078508199101
0.05,0,vla,auc,0.556370536935908
0.05,0,vla,accuracy,0.9854883180960673
0.05,0,vla_st,auc,0.556370536935908
0.05,0,vla_st,accuracy,0.9854883180960673
0.05,0,routed,auc,0.556370536935908
0.05,0,routed,accuracy,0.9854883180960673
0.05,0,oracle,auc,0.7326050552640658
0.05,0,oracle,accuracy,0.985778551734146
0.05,1,uda,auc,0.4916047994669902
0.05,1,uda,accuracy,0.9856334349151067
0.05,1,uda_cal,auc,0.4916047994669902
0.05,1,uda_cal,accuracy,0.9856334349151067
0.05,1,target_only,auc,0.5955692079808688
0.05,1,target_only,accuracy,0.985343201277028
0.05,1,target_only_cal,auc,0.5955692079808688
0.05,1,target_only_cal,accuracy,0.985343201277028
0.05,1,vla,auc,0.6009521005104044
0.05,1,vla,accuracy,0.9851980844579887
0.05,1,vla_st,auc,0.6009521005104044
0.05,1,vla_st,accuracy,0.9851980844579887
0.05,1,routed,auc,0.6009521005104044
0.05,1,routed,accuracy,0.9851980844579887
0.05,1,oracle,auc,0.7326050552640658
0.05,1,oracle,accuracy,0.985778551734146
0.05,2,uda,auc,0.4916047994669902
0.05,2,uda,accuracy,0.9856334349151067
0.05,2,uda_cal,auc,0.4916047994669902
0.05,2,uda_cal,accuracy,0.9856334349151067
0.05,2,target_only,auc,0.6209979655209337
0.05,2,target_only,accuracy,0.9844725003627921
0.05,2,target_only_cal,auc,0.6209979655209337
0.05,2,target_only_cal,accuracy,0.9844725003627921
0.05,2,vla,auc,0.6152113002819717
0.05,2,vla,accuracy,0.9841822667247134
0.05,2,vla_st,auc,0.6152113002819717
0.05,2,vla_st,accuracy,0.9841822667247134
0.05,2,routed,auc,0.6209979655209337
0.05,2,routed,accuracy,0.9844725003627921
0.05,2,oracle,auc,0.7326050552640658
0.05,2,oracle,accuracy,0.985778551734146
0.05,3,uda,auc,0.4916047994669902
0.05,3,uda,accuracy,0.9856334349151067
0.05,3,uda_cal,auc,0.4916047994669902
0.05,3,uda_cal,accuracy,0.9856334349151067
0.05,3,target_only,auc,0.5485419566691652
0.05,3,target_only,accuracy,0.9854883180960673
0.05,3,target_only_cal,auc,0.5485419566691652
0.05,3,target_only_cal,accuracy,0.9854883180960673
0.05,3,vla,auc,0.550120611295523
0.05,3,vla,accuracy,0.9854883180960673
0.05,3,vla_st,auc,0.550120611295523
0.05,3,vla_st,accuracy,0.9854883180960673
0.05,3,routed,auc,0.550120611295523
0.05,3,routed,accuracy,0.9854883180960673
0.05,3,oracle,auc,0.7326050552640658
0.05,3,oracle,accuracy,0.985778551734146
0.05,4,uda,auc,0.4916047994669902
0.05,4,uda,accuracy,0.9856334349151067
0.05,4,uda_cal,auc,0.4916047994669902
0.05,4,uda_cal,accuracy,0.9856334349151067
0.05,4,target_only,auc,0.6316291596768628
0.05,4,target_only,accuracy,0.9847627340008707
0.05,4,target_only_cal,auc,0.6316291596768628
0.05,4,target_only_cal,accuracy,0.9847627340008707
0.05,4,vla,auc,0.6440375486311882
0.05,4,vla,accuracy,0.9843273835437527
0.05,4,vla_st,auc,0.6440375486311882
0.05,4,vla_st,accuracy,0.9843273835437527
0.05,4,routed,auc,0.6316291596768628
0.05,4,routed,accuracy,0.9847627340008707
0.05,4,oracle,auc,0.7326050552640658
0.05,4,oracle,accuracy,0.985778551734146
0.1,0,uda,auc,0.4916047994669902
0.1,0,uda,accuracy,0.9856334349151067
0.1,0,uda_cal,auc,0.4916047994669902
0.1,0,uda_cal,accuracy,0.9856334349151067
0.1,0,target_only,auc,0.6133114121188327
0.1,0,target_only,accuracy,0.9836017994485561
0.1,0,target_only_cal,auc,0.6133114121188327
0.1,0,target_only_cal,accuracy,0.9836017994485561
0.1,0,vla,auc,0.6115461148588357
0.1,0,vla,accuracy,0.9851980844579887
0.1,0,vla_st,auc,0.6115461148588357
0.1,0,vla_st,accuracy,0.9851980844579887
0.1,0,routed,auc,0.6115461148588357
0.1,0,routed,accuracy,0.9851980844579887
0.1,0,oracle,auc,0.7326050552640658
0.1,0,oracle,accuracy,0.985778551734146
0.1,1,uda,auc,0.4916047994669902
0.1,1,uda,accuracy,0.9856334349151067
0.1,1,uda_cal,auc,0.4916047994669902
0.1,1,uda_cal,accuracy,0.9856334349151067
0.1,1,target_only,auc,0.5782828282828283
0.1,1,target_only,accuracy,0.9849078508199101
0.1,1,target_only_cal,auc,0.5782828282828283
0.1,1,target_only_cal,accuracy,0.9849078508199101
0.1,1,vla,auc,0.5804214108101033
0.1,1,vla,accuracy,0.9841822667247134
0.1,1,vla_st,auc,0.5804214108101033
0.1,1,vla_st,accuracy,0.9841822667247134
0.1,1,routed,auc,0.5782828282828283
0.1,1,routed,accuracy,0.9849078508199101
0.1,1,oracle,auc,0.7326050552640658
0.1,1,oracle,accuracy,0.985778551734146
0.1,2,uda,auc,0.4916047994669902
0.1,2,uda,accuracy,0.9856334349151067
0.1,2,uda_cal,auc,0.4916047994669902
0.1,2,uda_cal,accuracy,0.9856334349151067
0.1,2,target_only,auc,0.6740892434355332
0.1,2,target_only,accuracy,0.985343201277028
0.1,2,target_only_cal,auc,0.6740892434355332
0.1,2,target_only_cal,accuracy,0.985343201277028
0.1,2,vla,auc,0.6780481493379019
0.1,2,vla,accuracy,0.9844725003627921
0.1,2,vla_st,auc,0.6780481493379019
0.1,2,vla_st,accuracy,0.9844725003627921
0.1,2,routed,auc,0.6740892434355332
0.1,2,routed,accuracy,0.985343201277028
0.1,2,oracle,auc,0.7326050552640658
0.1,2,oracle,accuracy,0.985778551734146
0.1,3,uda,auc,0.4916047994669902
0.1,3,uda,accuracy,0.9856334349151067
0.1,3,uda_cal,auc,0.4916047994669902
0.1,3,uda_cal,accuracy,0.9856334349151067
0.1,3,target_only,auc,0.604417258569202
