level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.4444444444444444,0.6153846153846154,0.5,-0.16666666666666674,0.04395604395604402,-0.08472222222222225
baseline_b,0.25925925925925924,0.23076923076923078,0.25902777777777775,-0.3518518518518519,-0.3406593406593406,-0.3256944444444445
baseline,0.6111111111111112,0.5714285714285714,0.5847222222222223,0.0,0.0,0.0
level0,0.4074074074074074,0.2727272727272727,0.2763888888888889,-0.20370370370370378,-0.2987012987012987,-0.30833333333333335
level2,0.4074074074074074,0.2727272727272727,0.2763888888888889,-0.20370370370370378,-0.2987012987012987,-0.30833333333333335
level5,0.6111111111111112,0.5714285714285714,0.6277777777777778,0.0,0.0,0.043055555555555514
ensemble,0.5185185185185185,0.4583333333333333,0.4833333333333334,-0.09259259259259267,-0.11309523809523808,-0.10138888888888886
source_ensemble,0.2777777777777778,0.2641509433962264,0.28194444444444444,-0.33333333333333337,-0.307277628032345,-0.3027777777777778
oracle,0.8148148148148148,0.7916666666666666,0.8847222222222222,0.2037037037037036,0.22023809523809523,0.29999999999999993
