fraction,seed,method,metric,value
0.005,2,target_only_cal,accuracy,0.8811235209554351
0.005,2,vla,auc,0.8069389320476839
0.005,2,vla,accuracy,0.8804600243282097
0.005,2,vla_st,auc,0.8069389320476839
0.005,2,vla_st,accuracy,0.8804600243282097
0.005,2,routed,auc,0.8069389320476839
0.005,2,routed,accuracy,0.8804600243282097
0.005,2,oracle,auc,0.9285637176511252
0.005,2,oracle,accuracy,0.9078845515868628
0.005,3,uda,auc,0.6746262782414569
0.005,3,uda,accuracy,0.3854915404180029
0.005,3,uda_cal,auc,0.6746262782414569
0.005,3,uda_cal,accuracy,0.3854915404180029
0.005,3,target_only,auc,0.8099506636379884
0.005,3,target_only,accuracy,0.8793541966161672
0.005,3,target_only_cal,auc,0.8099506636379884
0.005,3,target_only_cal,accuracy,0.8793541966161672
0.005,3,vla,auc,0.8279870219800121
0.005,3,vla,accuracy,0.8803494415570055
0.005,3,vla_st,auc,0.8279870219800121
0.005,3,vla_st,accuracy,0.8803494415570055
0.005,3,routed,auc,0.8279870219800121
0.005,3,routed,accuracy,0.8803494415570055
0.005,3,oracle,auc,0.9285637176511252
0.005,3,oracle,accuracy,0.9078845515868628
0.005,4,uda,auc,0.6746262782414569
0.005,4,uda,accuracy,0.3854915404180029
0.005,4,uda_cal,auc,0.6746262782414569
0.005,4,uda_cal,accuracy,0.3854915404180029
0.005,4,target_only,auc,0.8198342118314941
0.005,4,target_only,accuracy,0.8824505142098861
0.005,4,target_only_cal,auc,0.8198342118314941
0.005,4,target_only_cal,accuracy,0.8824505142098861
0.005,4,vla,auc,0.8312107531489217
0.005,4,vla,accuracy,0.8821187658962734
0.005,4,vla_st,auc,0.8312107531489217
0.005,4,vla_st,accuracy,0.8821187658962734
0.005,4,routed,auc,0.8312107531489217
0.005,4,routed,accuracy,0.8821187658962734
0.005,4,oracle,auc,0.9285637176511252
0.005,4,oracle,accuracy,0.9078845515868628
0.01,0,uda,auc,0.6746262782414569
0.01,0,uda,accuracy,0.3854915404180029
0.01,0,uda_cal,auc,0.6746262782414569
0.01,0,uda_cal,accuracy,0.3854915404180029
0.01,0,target_only,auc,0.8356749955315553
0.01,0,target_only,accuracy,0.8791330310737587
0.01,0,target_only_cal,auc,0.8356749955315553
0.01,0,target_only_cal,accuracy,0.8791330310737587
0.01,0,vla,auc,0.8369807282795128
0.01,0,vla,accuracy,0.8790224483025545
0.01,0,vla_st,auc,0.8369807282795128
0.01,0,vla_st,accuracy,0.8790224483025545
0.01,0,routed,auc,0.8369807282795128
0.01,0,routed,accuracy,0.8790224483025545
0.01,0,oracle,auc,0.9285637176511252
0.01,0,oracle,accuracy,0.9078845515868628
0.01,1,uda,auc,0.6746262782414569
0.01,1,uda,accuracy,0.3854915404180029
0.01,1,uda_cal,auc,0.6746262782414569
0.01,1,uda_cal,accuracy,0.3854915404180029
0.01,1,target_only,auc,0.8453409216004015
0.01,1,target_only,accuracy,0.8796859449297799
0.01,1,target_only_cal,auc,0.8453409216004015
0.01,1,target_only_cal,accuracy,0.8796859449297799
0.01,1,vla,auc,0.8457195260963076
0.01,1,vla,accuracy,0.8803494415570055
0.01,1,vla_st,auc,0.8457195260963076
0.01,1,vla_st,accuracy,0.8803494415570055
0.01,1,routed,auc,0.8453409216004015
0.01,1,routed,accuracy,0.8796859449297799
0.01,1,oracle,auc,0.9285637176511252
0.01,1,oracle,accuracy,0.9078845515868628
0.01,2,uda,auc,0.6746262782414569
0.01,2,uda,accuracy,0.3854915404180029
0.01,2,uda_cal,auc,0.6746262782414569
0.01,2,uda_cal,accuracy,0.3854915404180029
0.01,2,target_only,auc,0.850250232891776
0.01,2,target_only,accuracy,0.8897489771093664
0.01,2,target_only_cal,auc,0.850250232891776
0.01,2,target_only_cal,accuracy,0.8897489771093664
0.01,2,vla,auc,0.8535591900219338
0.01,2,vla,accuracy,0.8917394669910428
0.01,2,vla_st,auc,0.8535591900219338
0.01,2,vla_st,accuracy,0.8917394669910428
0.01,2,routed,auc,0.8535591900219338
0.01,2,routed,accuracy,0.8917394669910428
0.01,2,oracle,auc,0.9285637176511252
0.01,2,oracle,accuracy,0.9078845515868628
0.01,3,uda,auc,0.6746262782414569
0.01,3,uda,accuracy,0.3854915404180029
0.01,3,uda_cal,auc,0.6746262782414569
0.01,3,uda_cal,accuracy,0.3854915404180029
0.01,3,target_only,auc,0.8379758005617811
0.01,3,target_only,accuracy,0.885546831803605
0.01,3,target_only_cal,auc,0.8379758005617811
0.01,3,target_only_cal,accuracy,0.885546831803605
0.01,3,vla,auc,0.8391315592918196
0.01,3,vla,accuracy,0.8853256662611965
0.01,3,vla_st,auc,0.8391315592918196
0.01,3,vla_st,accuracy,0.8853256662611965
0.01,3,routed,auc,0.8391315592918196
0.01,3,routed,accuracy,0.8853256662611965
0.01,3,oracle,auc,0.9285637176511252
0.01,3,oracle,accuracy,0.9078845515868628
0.01,4,uda,auc,0.6746262782414569
0.01,4,uda,accuracy,0.3854915404180029
0.01,4,uda_cal,auc,0.6746262782414569
0.01,4,uda_cal,accuracy,0.3854915404180029
0.01,4,target_only,auc,0.8273994955096572
0.01,4,target_only,accuracy,0.8853256662611965
0.01,4,target_only_cal,auc,0.8273994955096572
0.01,4,target_only_cal,accuracy,0.8853256662611965
0.01,4,vla,auc,0.8354880902637626
0.01,4,vla,accuracy,0.8872055733716687
0.01,4,vla_st,auc,0.8354880902637626
