level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.23932848807452145,0.3862228462872718,0.5,-0.4530658204524516,0.029003594950373413,-0.11147075478203283
baseline_b,0.6718190193469137,0.12404371584699453,0.45113000828034233,-0.020575289180059353,-0.23317553548990388,-0.1603407465016905
baseline,0.692394308526973,0.3572192513368984,0.6114707547820328,0.0,0.0,0.0
level0,0.696284164192855,0.3639871382636656,0.5894401001330863,0.0038898556658819583,0.006767886926767164,-0.02203065464894649
level2,0.6583068891391135,0.286142001710864,0.6149677978376255,-0.03408741938785953,-0.0710772496260344,0.003497043055592619
level5,0.6441805711945952,0.2566295979469632,0.5292865160733381,-0.04821373733237788,-0.1005896533899352,-0.08218423870869473
ensemble,0.6821578462483365,0.3361128928800513,0.6281926314048183,-0.010236462278636504,-0.021106358456847107,0.01672187662278546
source_ensemble,0.729962125089569,0.4481171548117155,0.7008898173432245,0.037567816562596,0.09089790347481708,0.0894190625611917
oracle,0.8681543658511618,0.7245508982035929,0.9264249630964727,0.17576005732418876,0.36733164686669445,0.3149542083144399
