fraction,seed,method,metric,value
0.005,3,target_only_cal,auc,
0.005,3,target_only_cal,accuracy,
0.005,3,vla,auc,0.702962962962963
0.005,3,vla,accuracy,0.7207792207792207
0.005,3,vla_st,auc,0.702962962962963
0.005,3,vla_st,accuracy,0.7207792207792207
0.005,3,routed,auc,0.5
0.005,3,routed,accuracy,0.6493506493506493
0.005,3,oracle,auc,0.8285185185185185
0.005,3,oracle,accuracy,0.7597402597402597
0.005,4,uda,auc,0.7544444444444445
0.005,4,uda,accuracy,0.35064935064935066
0.005,4,uda_cal,auc,
0.005,4,uda_cal,accuracy,
0.005,4,target_only,auc,0.5
0.005,4,target_only,accuracy,0.6493506493506493
0.005,4,target_only_cal,auc,
0.005,4,target_only_cal,accuracy,
0.005,4,vla,auc,0.6629629629629631
0.005,4,vla,accuracy,0.6428571428571429
0.005,4,vla_st,auc,0.6629629629629631
0.005,4,vla_st,accuracy,0.6428571428571429
0.005,4,routed,auc,0.5
0.005,4,routed,accuracy,0.6493506493506493
0.005,4,oracle,auc,0.8285185185185185
0.005,4,oracle,accuracy,0.7597402597402597
0.01,0,uda,auc,0.7544444444444445
0.01,0,uda,accuracy,0.35064935064935066
0.01,0,uda_cal,auc,
0.01,0,uda_cal,accuracy,
0.01,0,target_only,auc,0.5
0.01,0,target_only,accuracy,0.6493506493506493
0.01,0,target_only_cal,auc,
0.01,0,target_only_cal,accuracy,
0.01,0,vla,auc,0.6866666666666666
0.01,0,vla,accuracy,0.6753246753246753
0.01,0,vla_st,auc,0.6866666666666666
0.01,0,vla_st,accuracy,0.6753246753246753
0.01,0,routed,auc,0.5
0.01,0,routed,accuracy,0.6493506493506493
0.01,0,oracle,auc,0.8285185185185185
0.01,0,oracle,accuracy,0.7597402597402597
0.01,1,uda,auc,0.7544444444444445
0.01,1,uda,accuracy,0.35064935064935066
0.01,1,uda_cal,auc,
0.01,1,uda_cal,accuracy,
0.01,1,target_only,auc,0.5
0.01,1,target_only,accuracy,0.6493506493506493
0.01,1,target_only_cal,auc,
0.01,1,target_only_cal,accuracy,
0.01,1,vla,auc,0.7575925925925926
0.01,1,vla,accuracy,0.6428571428571429
0.01,1,vla_st,auc,0.7575925925925926
0.01,1,vla_st,accuracy,0.6428571428571429
0.01,1,routed,auc,0.5
0.01,1,routed,accuracy,0.6493506493506493
0.01,1,oracle,auc,0.8285185185185185
0.01,1,oracle,accuracy,0.7597402597402597
0.01,2,uda,auc,0.7544444444444445
0.01,2,uda,accuracy,0.35064935064935066
0.01,2,uda_cal,auc,
0.01,2,uda_cal,accuracy,
0.01,2,target_only,auc,0.5
0.01,2,target_only,accuracy,0.6493506493506493
0.01,2,target_only_cal,auc,
0.01,2,target_only_cal,accuracy,
0.01,2,vla,auc,0.6739814814814815
0.01,2,vla,accuracy,0.6753246753246753
0.01,2,vla_st,auc,0.6739814814814815
0.01,2,vla_st,accuracy,0.6753246753246753
0.01,2,routed,auc,0.5
0.01,2,routed,accuracy,0.6493506493506493
0.01,2,oracle,auc,0.8285185185185185
0.01,2,oracle,accuracy,0.7597402597402597
0.01,3,uda,auc,0.7544444444444445
0.01,3,uda,accuracy,0.35064935064935066
0.01,3,uda_cal,auc,
0.01,3,uda_cal,accuracy,
0.01,3,target_only,auc,0.5
0.01,3,target_only,accuracy,0.6493506493506493
0.01,3,target_only_cal,auc,
0.01,3,target_only_cal,accuracy,
0.01,3,vla,auc,0.702962962962963
0.01,3,vla,accuracy,0.7207792207792207
0.01,3,vla_st,auc,0.702962962962963
0.01,3,vla_st,accuracy,0.7207792207792207
0.01,3,routed,auc,0.5
0.01,3,routed,accuracy,0.6493506493506493
0.01,3,oracle,auc,0.8285185185185185
0.01,3,oracle,accuracy,0.7597402597402597
0.01,4,uda,auc,0.7544444444444445
0.01,4,uda,accuracy,0.35064935064935066
0.01,4,uda_cal,auc,
0.01,4,uda_cal,accuracy,
0.01,4,target_only,auc,0.5
0.01,4,target_only,accuracy,0.6493506493506493
0.01,4,target_only_cal,auc,
0.01,4,target_only_cal,accuracy,
0.01,4,vla,auc,0.6629629629629631
0.01,4,vla,accuracy,0.6428571428571429
0.01,4,vla_st,auc,0.6629629629629631
0.01,4,vla_st,accuracy,0.6428571428571429
0.01,4,routed,auc,0.5
0.01,4,routed,accuracy,0.6493506493506493
0.01,4,oracle,auc,0.8285185185185185
0.01,4,oracle,accuracy,0.7597402597402597
0.05,0,uda,auc,0.7544444444444445
0.05,0,uda,accuracy,0.35064935064935066
0.05,0,uda_cal,auc,0.7544444444444445
0.05,0,uda_cal,accuracy,0.35064935064935066
0.05,0,target_only,auc,0.7221296296296296
0.05,0,target_only,accuracy,0.6688311688311688
0.05,0,target_only_cal,auc,0.7221296296296296
0.05,0,target_only_cal,accuracy,0.6688311688311688
0.05,0,vla,auc,0.7294444444444445
0.05,0,vla,accuracy,0.6818181818181818
0.05,0,vla_st,auc,0.6890740740740742
0.05,0,vla_st,accuracy,0.6818181818181818
0.05,0,routed,auc,0.7294444444444445
0.05,0,routed,accuracy,0.6818181818181818
0.05,0,oracle,auc,0.8285185185185185
0.05,0,oracle,accuracy,0.7597402597402597
0.05,1,uda,auc,0.7544444444444445
0.05,1,uda,accuracy,0.35064935064935066
0.05,1,uda_cal,auc,0.7544444444444445
0.05,1,uda_cal,accuracy,0.35064935064935066
0.05,1,target_only,auc,0.7849999999999999
0.05,1,target_only,accuracy,0.7012987012987013
0.05,1,target_only_cal,auc,0.7849999999999999
0.05,1,target_only_cal,accuracy,0.7012987012987013
