level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.35064935064935066,0.5192307692307693,0.5,-0.2597402597402597,0.07478632478632485,-0.032314814814814796
baseline_b,0.42207792207792205,0.1834862385321101,0.26546296296296296,-0.18831168831168832,-0.2609582059123343,-0.26685185185185184
baseline,0.6103896103896104,0.4444444444444444,0.5323148148148148,0.0,0.0,0.0
level0,0.5194805194805194,0.32727272727272727,0.4769444444444445,-0.09090909090909094,-0.11717171717171715,-0.05537037037037029
level2,0.5194805194805194,0.3148148148148148,0.4767592592592592,-0.09090909090909094,-0.1296296296296296,-0.05555555555555558
level5,0.6233766233766234,0.46296296296296297,0.5874074074074074,0.012987012987012991,0.018518518518518545,0.05509259259259258
ensemble,0.6233766233766234,0.46296296296296297,0.5866666666666667,0.012987012987012991,0.018518518518518545,0.05435185185185187
source_ensemble,0.6103896103896104,0.45454545454545453,0.5944444444444444,0.0,0.01010101010101011,0.062129629629629646
oracle,0.7532467532467533,0.6481481481481481,0.8285185185185185,0.1428571428571429,0.20370370370370372,0.29620370370370375
