table_id,proxy_col,n_rows,n_aligned_cols,self_auc,discovery_score
z_quick_time_tables_licensed_turkish,fat,119,2,1.0,0.2009
z_dose_rate_tables_licensed_us_states_misc_stats,obesity_rate,51,1,0.9416,0.0866
z_whole_tables_licensed_CerealsSanitized,fat,76,1,0.8777,0.0964
z_whole_tables_licensed_Cereal_Data_1,Fat,77,1,0.875,0.0938
