level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.5764411027568922,0.0,0.5,0.15288220551378445,-0.5950704225352113,-0.0031000771803447735
baseline_b,0.5764411027568922,0.0,0.36461281193722667,0.15288220551378445,-0.5950704225352113,-0.1384872652431181
baseline,0.42355889724310775,0.5950704225352113,0.5031000771803448,0.0,0.0,0.0
level0,0.42355889724310775,0.5950704225352113,0.6662721893491124,0.0,0.0,0.1631721121687676
level2,0.42355889724310775,0.5950704225352113,0.6662721893491124,0.0,0.0,0.1631721121687676
level5,0.42355889724310775,0.5950704225352113,0.6103164394134294,0.0,0.0,0.10721636223308462
ensemble,0.42355889724310775,0.5950704225352113,0.6974273218420376,0.0,0.0,0.19432724466169282
source_ensemble,0.42355889724310775,0.5950704225352113,0.46643941342938,0.0,0.0,-0.03666066375096477
oracle,0.8270676691729323,0.7927927927927928,0.9153331618214562,0.40350877192982454,0.19772237025758155,0.4122330846411114
