target,k,best_level,auc
adult,5,level2,0.7345935040352423
adult,10,level2,0.7444452752030974
adult,20,level2,0.7667515191659475
adult,50,level2,0.7737182075090836
credit,5,level2,0.4619642857142856
credit,10,level5,0.5294047619047619
credit,20,level5,0.604047619047619
credit,50,level5,0.5538095238095238
heart,5,level5,0.6277777777777778
heart,10,level5,0.6194444444444445
heart,20,level0,0.6833333333333333
heart,50,level5,0.6194444444444445
