level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline,0.37037037037037035,0.39285714285714285,0.37222222222222223,0.0,0.0,0.0
level0,0.35185185185185186,0.05405405405405406,0.21597222222222223,-0.01851851851851849,-0.3388030888030888,-0.15625
level2,0.2777777777777778,0.23529411764705882,0.26249999999999996,-0.09259259259259256,-0.15756302521008403,-0.10972222222222228
level5,0.5370370370370371,0.4444444444444444,0.5305555555555556,0.16666666666666674,0.05158730158730157,0.15833333333333333
ensemble,0.2777777777777778,0.1702127659574468,0.29444444444444445,-0.09259259259259256,-0.22264437689969604,-0.07777777777777778
source_ensemble,0.5370370370370371,0.647887323943662,0.7534722222222223,0.16666666666666674,0.25503018108651915,0.3812500000000001
oracle,0.8148148148148148,0.8,0.8847222222222222,0.4444444444444444,0.4071428571428572,0.5125
