level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline,0.8815658520402522,0.009250693802035153,0.540127400975127,0.0,0.0,0.0
level0,0.6591838991485126,0.12193732193732194,0.4028808742289714,-0.22238195289173956,0.11268662813528679,-0.13724652674615562
level1,0.8814552692690479,0.01651376146788991,0.5257135602790203,-0.00011058277120423732,0.0072630676658547565,-0.014413840696106739
level2,0.8827822625234988,0.0,0.5265083515523554,0.0012164104832466105,-0.009250693802035153,-0.01361904942277159
level3,0.8817870175826606,0.009267840593141797,0.5202202144143142,0.00022116554240847464,1.7146791106644604e-05,-0.019907186560812806
level5,0.8824505142098861,0.0,0.56971649347252,0.0008846621696338985,-0.009250693802035153,0.029589092497392944
oracle,0.9078845515868628,0.5137186223000584,0.9285637176511252,0.02631869954661059,0.5044679284980232,0.3884363166759982
