level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline,0.8027203361716244,0.15689981096408318,0.540127400975127,0.0,0.0,0.0
level0,0.7937631317040805,0.09597673291323315,0.4028808742289714,-0.008957204467543889,-0.060923078050850024,-0.13724652674615562
level1,0.7982970253234546,0.15477293790546803,0.5257135602790203,-0.004423310848169826,-0.002126873058615142,-0.014413840696106739
level2,0.8017250912307863,0.15304676428908834,0.5265083515523554,-0.0009952449408381359,-0.0038530466749948367,-0.01361904942277159
level3,0.7985181908658631,0.1413760603204524,0.5202202144143142,-0.004202145305761351,-0.015523750643630763,-0.019907186560812806
level5,0.7977441114674334,0.1360415682569674,0.56971649347252,-0.004976224704191012,-0.02085824270711578,0.029589092497392944
oracle,0.9048988167643481,0.5935727788279773,0.9285637176511252,0.10217848059272372,0.43667296786389415,0.3884363166759982
