level,accuracy,f1,auc,accuracy_delta,f1_delta,auc_delta
baseline_a,0.23932848807452145,0.3862228462872718,0.5,-0.4065922817074419,0.14727895189783288,-0.06988203649221536
baseline_b,0.6786774490736002,0.32363714716655895,0.6259387620744439,0.03275667929163684,0.08469325277712,0.05605672558222852
baseline,0.6459207697819633,0.23894389438943894,0.5698820364922154,0.0,0.0,0.0
level0,0.6321015457058041,0.29335430593786865,0.43986543897037805,-0.013819224076159209,0.05441041154842971,-0.1300165975218373
level2,0.7559627392773057,0.03403565640194489,0.6503441297806947,0.1100419694953424,-0.20490823798749405,0.08046209328847931
level5,0.5818405159176988,0.1265768655120804,0.3858098728432747,-0.06408025386426452,-0.11236702887735855,-0.18407216364894063
ensemble,0.5838878083734261,0.1308531109685696,0.3970124230459434,-0.0620329614085372,-0.10809078342086934,-0.17286961344627194
source_ensemble,0.4627904596171563,0.2331969608416131,0.49900481636645977,-0.18313031016480702,-0.00574693354782585,-0.07087722012575559
oracle,0.8681543658511618,0.7245508982035929,0.9264249630964727,0.22223359606919846,0.4856070038141539,0.35654292660425735
